UUID,type,type_id,category,category_id
5289153b-8f84-4009-ab58-444e80d1488d,ESP32,0,microcontrolador,0
755d4437-63e7-4da0-87cf-ea21770ba7b8,ESP32,0,microcontrolador,0
95591867-3fe3-4b09-9cf9-405e48cd7a65,ESP32,0,microcontrolador,0
cbf7f8e2-be62-46a8-9991-3bc668f987dd,ESP32,0,microcontrolador,0
3fb43bc9-2ca8-4039-a979-d5406e007eb1,ESP32,0,microcontrolador,0
8baafacd-4736-48dc-a1d3-2e9783d1baab,ESP32,0,microcontrolador,0
b2b6c379-5b0c-400f-b09f-17e052c1c363,ESP32,0,microcontrolador,0
bb0a7142-3c2a-4902-aa8c-cf34aed580df,ESP32,0,microcontrolador,0
84092cab-34b2-4f09-bded-0aefd61cdb68,ESP32,0,microcontrolador,0
75fb7cd1-f05b-4392-add0-48f0a7d88e9f,ESP32,0,microcontrolador,0
f43968c2-bed5-48e6-accb-f365d574c74a,ESP32,0,microcontrolador,0
0b229e76-99fc-419f-92e5-2158b766b092,ESP32,0,microcontrolador,0
23b6d2c0-09b5-4b43-af11-9373bc9ce5fa,ESP32,0,microcontrolador,0
5c41385f-54c8-4597-9e50-4cb0cc17d467,ESP32,0,microcontrolador,0
3bab93ac-f51a-4d18-8990-1cfab4bc9fc0,ESP32,0,microcontrolador,0
8c189051-3c9a-4f0d-9ee3-552a7f34b9bd,ESP32,0,microcontrolador,0
eb855946-0bfd-4939-8722-f2664ac762e8,ESP32,0,microcontrolador,0
e0fd239c-0374-410e-b01e-edb286347c69,ESP32,0,microcontrolador,0
d486a52b-bec5-4ae3-bf36-fb8ab8f0d086,ESP32,0,microcontrolador,0
f162f781-2117-401d-84b7-0ef47f0fef7e,ESP32,0,microcontrolador,0
bcb68617-5da4-4318-b78e-2916ef737582,ESP32,0,microcontrolador,0
b0612992-21f2-4c6e-b35c-2c88bfd2f153,ESP32,0,microcontrolador,0
5f90a620-01ef-4d77-ba36-10495e4e2eb9,ESP32,0,microcontrolador,0
bab46fb0-b557-4fbb-a6dd-0eb67b0d2085,ESP32,0,microcontrolador,0
73c43c3b-ff55-4275-aab7-fd5c5911d78d,ESP32,0,microcontrolador,0
6d01e944-0dbf-4f47-97bd-f932646bacc2,ESP32,0,microcontrolador,0
5d6a8aca-fdad-4911-b7d4-8be7ccc570b7,ESP32,0,microcontrolador,0
09afcfbc-6f05-4f27-a16b-7acf125e4920,ESP32,0,microcontrolador,0
c9da4bb9-afb1-4092-8582-9f79fa35718f,ESP32,0,microcontrolador,0
c277b36d-e077-4cfa-b3f4-cb20ba666803,ESP32,0,microcontrolador,0
4a03141e-1f87-4d21-92e3-acab1bfc0e65,ESP32,0,microcontrolador,0
dc02ec37-5fe7-44be-89dc-c97cac6a07d3,ESP32,0,microcontrolador,0
8aa42b06-0526-4190-bb0a-2da708c383b3,ESP32,0,microcontrolador,0
a8d000fe-ce45-493c-85f6-5e44df26674a,ESP32,0,microcontrolador,0
63f4dba7-a008-4a86-a84e-b98c72ebe338,ESP32,0,microcontrolador,0
9bbe7e0a-2659-46b0-9b32-0c21ca0e18fa,ESP32,0,microcontrolador,0
97ad5fac-f54a-4f55-9625-1dd9c27687c0,ESP32,0,microcontrolador,0
a49aea19-bcda-4506-8cfd-6aea16eb48ec,ESP32,0,microcontrolador,0
a1c3ec34-266f-4482-883e-c86e7efcf2e0,ESP32,0,microcontrolador,0
e47b5768-8046-4fea-b982-f75aa279918b,ESP32,0,microcontrolador,0
a2dbe22c-d4c8-4561-a0ea-ec08c26fb3d0,ESP32,0,microcontrolador,0
1f145b4d-c64f-4237-a244-449575289095,ESP32,0,microcontrolador,0
1990229f-db08-454a-8695-97b263d68fb5,ESP32,0,microcontrolador,0
9deea7ca-6b6f-44de-bf0e-b886e24556f2,ESP32,0,microcontrolador,0
6702cd3e-5fdb-4c80-a7db-0a2c9bd18f22,ESP32,0,microcontrolador,0
d56d3936-8f0e-4bb5-b3a4-cc7ac1f5d07c,ESP32,0,microcontrolador,0
1f2fef89-078c-4355-b40f-46d122b55aeb,ESP32,0,microcontrolador,0
1c194166-c30c-4fbd-90d6-53c680f9101a,ESP32,0,microcontrolador,0
2d796034-4063-4bf3-99eb-0ad635e1f1c9,ESP32,0,microcontrolador,0
8963379f-39e0-4080-80ed-b5d1ffaf55f3,ESP32,0,microcontrolador,0
497d80e0-9230-4aae-94aa-ce1c49131ee5,ESP32,0,microcontrolador,0
e3e722fd-eed0-41cf-bb35-c8c062886e39,ESP32,0,microcontrolador,0
81439d47-5915-4ddd-b027-ada8d6b7ca66,ESP32,0,microcontrolador,0
a65d7908-9e6d-40e5-a822-d8c92ab15bb4,ESP32,0,microcontrolador,0
0038a8c9-180c-49db-ba66-ab0ca85c155e,ESP32,0,microcontrolador,0
23f4ae15-c249-4eb2-a4aa-0a828165ad01,ESP32,0,microcontrolador,0
f00f0891-457b-4698-9015-b5f80588bbab,ESP32,0,microcontrolador,0
7cccf9c2-67ff-4f74-8ad0-9c9a576f34c4,ESP32,0,microcontrolador,0
0203b490-f710-4f27-a3ef-bdfd99ade762,ESP32,0,microcontrolador,0
d5ec400e-ccc6-49ed-8ed2-8e064b7438d1,ESP32,0,microcontrolador,0
81607b8d-e4bd-4c7f-b430-3968f82241ef,ESP32,0,microcontrolador,0
f80b1216-963d-45ef-9511-72ed7c265d11,ESP32,0,microcontrolador,0
27eb3a38-e83e-4faa-b73b-4d98497b8c78,ESP32,0,microcontrolador,0
570093f4-18e3-476f-a123-e6d697f6a87e,ESP32,0,microcontrolador,0
6b49cc18-7d5c-4c55-90c6-ecf4de5f5e8f,ESP32,0,microcontrolador,0
7efcf5ad-eb58-41f9-aa38-b28d546f1e74,ESP32,0,microcontrolador,0
f98dbfba-57fd-4e29-8520-3e58876457d9,ESP32,0,microcontrolador,0
95285730-1ab5-431f-ae7f-11ada40d02b8,ESP32,0,microcontrolador,0
9d9ff764-043f-4937-bb9f-4e5071e1c47b,ESP32,0,microcontrolador,0
dd51f885-c9e8-423c-8800-68a0b5d29ea2,ESP32,0,microcontrolador,0
5aabae14-9c30-4c88-8dca-499e8a3256f2,ESP32,0,microcontrolador,0
835b04ee-9740-4e0e-ac22-7f052fd3386c,ESP32,0,microcontrolador,0
5675689a-0627-44fb-9a5a-6e2e47068774,ESP32,0,microcontrolador,0
150d830d-9daa-439f-8ca6-c7d32ff59008,ESP32,0,microcontrolador,0
58c53914-030b-4930-8984-adeca39164c1,ESP32,0,microcontrolador,0
46f0f119-bd81-469e-a4d4-d9d1aa36fd1f,ESP32,0,microcontrolador,0
450a1f21-2d00-4368-a3b5-e443f0497a8f,ESP32,0,microcontrolador,0
3ef36609-5e2f-4b84-9956-68cc08414ee0,ESP32,0,microcontrolador,0
e4885bfd-c048-4887-88a8-36223aca9ebc,ESP32,0,microcontrolador,0
230befef-db8d-4b52-a7f9-daa8b05d6a98,ESP32,0,microcontrolador,0
a4ef80ba-42ce-4505-bc57-df610c92c688,ESP32,0,microcontrolador,0
1b0e2f00-7475-4d91-975c-610fff025102,ESP32,0,microcontrolador,0
e0852a1b-e021-448a-a2e9-41ab3be1a962,ESP32,0,microcontrolador,0
bd6b5b46-c6cb-4367-9da5-fe2235f39bd8,ESP32,0,microcontrolador,0
